timestamp,heart_rate,sleep_duration,step_count
2025-10-27 18:15:44,99,3.02,38
2025-10-27 18:16:44,70,5.32,114
2025-10-27 18:17:44,108,6.32,182
2025-10-27 18:18:44,110,5.46,51
2025-10-27 18:19:44,107,5.86,53
2025-10-27 18:20:44,70,9.45,45
2025-10-27 18:21:44,105,8.69,156
2025-10-27 18:22:44,89,1.82,192
2025-10-27 18:23:44,89,4.09,117
2025-10-27 18:24:44,61,7.53,86
2025-10-27 18:25:44,65,6.51,178
2025-10-27 18:26:44,118,6.5,86
2025-10-27 18:27:44,98,1.21,92
2025-10-27 18:28:44,99,2.43,159
2025-10-27 18:29:44,77,5.94,28
2025-10-27 18:30:44,82,1.93,31
2025-10-27 18:31:44,56,1.08,106
2025-10-27 18:32:44,86,2.72,179
2025-10-27 18:33:44,95,8.11,27
2025-10-27 18:34:44,115,1.47,46
2025-10-27 18:35:44,115,4.05,39
2025-10-27 18:36:44,98,8.39,40
2025-10-27 18:37:44,59,7.35,135
2025-10-27 18:38:44,58,2.3,0
2025-10-27 18:39:44,97,6.0,75
2025-10-27 18:40:44,72,9.37,196
2025-10-27 18:41:44,88,5.31,38
2025-10-27 18:42:44,99,0.67,163
2025-10-27 18:43:44,75,3.93,157
2025-10-27 18:44:44,97,1.56,134
2025-10-27 18:45:44,81,7.23,145
2025-10-27 18:46:44,100,8.01,168
2025-10-27 18:47:44,61,7.92,176
2025-10-27 18:48:44,97,5.56,61
2025-10-27 18:49:44,110,9.52,64
2025-10-27 18:50:44,119,5.61,24
2025-10-27 18:51:44,93,3.13,128
2025-10-27 18:52:44,70,1.8,159
2025-10-27 18:53:44,73,3.47,87
2025-10-27 18:54:44,59,7.11,141
2025-10-27 18:55:44,115,3.7,150
2025-10-27 18:56:44,91,8.27,185
2025-10-27 18:57:44,100,6.78,175
2025-10-27 18:58:44,102,9.22,136
2025-10-27 18:59:44,68,3.7,194
2025-10-27 19:00:44,82,1.71,117
2025-10-27 19:01:44,74,8.62,188
2025-10-27 19:02:44,57,7.13,88
2025-10-27 19:03:44,58,3.65,120
2025-10-27 19:04:44,82,8.41,135
2025-10-27 19:05:44,105,1.59,149
2025-10-27 19:06:44,96,2.2,17
2025-10-27 19:07:44,69,2.29,144
2025-10-27 19:08:44,115,5.86,170
2025-10-27 19:09:44,78,2.2,97
2025-10-27 19:10:44,71,8.16,128
2025-10-27 19:11:44,99,6.52,69
2025-10-27 19:12:44,92,0.41,10
2025-10-27 19:13:44,117,5.86,178
2025-10-27 19:14:44,64,3.42,64
2025-10-27 19:15:44,68,5.93,155
2025-10-27 19:16:44,94,7.52,50
2025-10-27 19:17:44,60,8.59,47
2025-10-27 19:18:44,89,9.84,130
2025-10-27 19:19:44,80,4.18,107
2025-10-27 19:20:44,119,1.55,113
2025-10-27 19:21:44,79,8.96,42
2025-10-27 19:22:44,68,3.44,55
2025-10-27 19:23:44,100,9.31,171
2025-10-27 19:24:44,119,5.63,23
2025-10-27 19:25:44,70,4.82,105
2025-10-27 19:26:44,104,2.44,49
2025-10-27 19:27:44,84,6.63,19
2025-10-27 19:28:44,73,2.49,200
2025-10-27 19:29:44,107,5.0,194
2025-10-27 19:30:44,67,8.5,113
2025-10-27 19:31:44,71,0.18,71
2025-10-27 19:32:44,99,5.86,52
2025-10-27 19:33:44,116,1.03,68
2025-10-27 19:34:44,120,9.37,10
2025-10-27 19:35:44,78,0.61,107
2025-10-27 19:36:44,84,9.19,89
2025-10-27 19:37:44,93,8.91,164
2025-10-27 19:38:44,105,8.43,167
2025-10-27 19:39:44,92,8.27,45
2025-10-27 19:40:44,65,6.1,185
2025-10-27 19:41:44,116,9.09,135
2025-10-27 19:42:44,61,2.57,5
2025-10-27 19:43:44,110,3.06,63
2025-10-27 19:44:44,91,4.23,36
2025-10-27 19:45:44,88,4.41,139
2025-10-27 19:46:44,55,8.96,160
2025-10-27 19:47:44,60,0.77,49
2025-10-27 19:48:44,115,0.23,34
2025-10-27 19:49:44,96,3.55,162
2025-10-27 19:50:44,85,3.8,67
2025-10-27 19:51:44,84,3.2,56
2025-10-27 19:52:44,94,1.21,56
2025-10-27 19:53:44,66,5.89,164
2025-10-27 19:54:44,100,2.65,38
